Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,102.87,103.5327,102.7902,103.3947,596748.8749246
2020-01-03,102.6225,104.0376,102.3849,103.8399,752307.1221207
2020-01-06,103.3746,103.83,102.5331,103.7802,749060.62238053
2020-01-07,103.5723,103.83,102.0576,102.0876,581539.6196079
2020-01-08,102.1671,102.6024,100.9299,101.5032,1216748.5062337
2020-01-09,101.9397,103.4643,101.6625,102.9594,552541.32634677
2020-01-10,103.3353,103.4247,102.4245,102.4833,445495.72477043
2020-01-13,102.6423,103.1373,102.4734,102.7119,411635.76279447
2020-01-14,102.87,102.87,101.9982,102.207,735200.8766011
2020-01-15,102.0678,103.7802,102.0678,103.4343,649742.37706197
2020-01-16,104.1171,104.1966,103.3647,103.8699,1131555.6661319
2020-01-17,104.0178,104.9094,103.6023,104.8497,824518.00370947
2020-01-21,104.6619,105.6615,104.5128,104.7903,765053.72455427
2020-01-22,104.919,104.9889,103.7901,104.6817,610883.37114877
2020-01-23,104.592,105.1965,104.0376,105.1467,503813.52688613
2020-01-24,105.1767,105.7899,104.7801,105.7116,725594.71215517
2020-01-27,104.6718,105.78,104.5425,105.2949,1021326.191755
2020-01-28,105.3447,107.0184,105.3147,106.5819,1103674.5566644
2020-01-29,107.5617,111.0276,105.2751,110.6313,1329500.2300976
2020-01-30,110.5425,111.3735,108.7707,111.2154,1032556.6161829
2020-01-31,111.1062,112.0275,110.82,111.7002,951169.87783
2020-02-03,112.71,114.0369,112.245,112.9776,749845.47934943
2020-02-04,114.0867,115.314,113.6112,113.8191,903953.20581533
2020-02-05,114.3639,114.3738,111.1557,111.7104,1063657.9624805
2020-02-06,112.4229,112.4427,110.8101,111.1062,949396.12128247
2020-02-07,111.2253,111.5424,109.5726,109.6608,1000338.0860918
2020-02-10,109.4532,111.1062,109.3536,110.9877,981372.22451063
2020-02-11,110.9778,111.9081,109.998,110.1063,482691.07633633
2020-02-12,110.2056,110.3538,108.3339,109.4037,607436.86924663
2020-02-13,109.503,110.2056,109.2954,109.7304,427312.6999344
2020-02-14,109.9581,111.5025,109.9581,111.4527,552981.73514787
2020-02-18,108.8589,111.4131,108.5031,110.9382,1131345.5628507
2020-02-19,111.2253,112.5222,110.4927,110.5623,757364.7525498
2020-02-20,110.82,111.0573,108.6909,109.8102,721781.53962277
2020-02-21,109.5726,110.7306,109.3341,110.4729,2634931.5131482
2020-02-24,108.2358,110.7006,107.8002,110.0475,1269657.1589689
2020-02-25,110.2155,110.6112,107.2755,107.8194,1004642.1730217
2020-02-26,107.8689,109.9782,107.8689,108.4137,988546.03943123
2020-02-27,107.4138,107.8986,102.9297,103.0578,1399747.4540962
2020-02-28,100.701,101.1375,96.3567,98.3562,2378248.9405043
2020-03-02,98.7912,105.8493,98.7912,105.6318,1317920.3069423
2020-03-03,106.0671,109.4133,104.6718,105.582,1373356.2597241
2020-03-04,107.5818,111.7896,105.9888,111.6108,1257926.7291361
2020-03-05,107.9685,109.9083,107.0184,109.4334,1715194.2983285
2020-03-06,106.0971,107.7009,103.2651,105.9888,1313698.0390785
2020-03-09,98.5239,103.9791,98.277,101.3952,1495280.8100164
2020-03-10,103.8795,104.3448,98.0208,100.4049,2073823.4275306
2020-03-11,97.7049,97.803,93.7926,95.2608,1907356.981612
2020-03-12,88.1097,89.9298,85.0917,85.4112,1833120.8256052
2020-03-13,89.7681,92.871,82.6017,92.562,1744285.521887
2020-03-16,83.841,89.4108,80.3238,82.2117,1470574.4823421
2020-03-17,84.2946,92.3988,83.841,91.5801,2309216.8811564
2020-03-18,87.156,92.0223,85.9122,88.2447,2351229.4565123
2020-03-19,88.4367,89.2374,82.4148,84.8046,1819529.769599
2020-03-20,86.5569,86.5569,76.7766,77.5755,2242948.4880466
2020-03-23,77.6448,77.6448,69.0588,70.2141,1861612.042678
2020-03-24,74.1165,80.1684,73.6155,79.9773,2049870.6433554
2020-03-25,79.9773,87.7137,79.2915,83.8029,2043322.0877189
2020-03-26,84.8517,92.6019,84.8517,90.4137,1763308.9598481
2020-03-27,86.7699,91.9728,86.0373,89.4108,1169737.8970526
2020-03-30,90.6156,96.2052,89.4384,95.8281,1491529.2543116
2020-03-31,95.907,96.7536,91.1412,91.5009,1572870.5376277
2020-04-01,86.8479,89.8971,86.733,88.9188,1098673.4925033
2020-04-02,88.7061,91.0206,87.051,90.5466,1283669.4316496
2020-04-03,91.0968,92.4321,90.171,91.7622,884054.0008117
